2019/08/23 17:30:45.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:30:54.009 [D] [ext_handlerAuto.go:28]  正在匹配
2019/08/23 17:31:05.518 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:31:05.518 [D] [ext_timer.go:199]  获取玩家胜率：%!(EXTRA float32=-0.12)
2019/08/23 17:31:05.518 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:31:09.518 [D] [ext_timer.go:278]  开牌
2019/08/23 17:31:15.518 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:31:15.518 [D] [ext_timer.go:539]  结算中
2019/08/23 17:31:15.518 [D] [ext_timer.go:458]  真是输赢:%!(EXTRA int64=0)
2019/08/23 17:31:15.518 [D] [ext_timer.go:510]  该玩家没有下注，不存本局记录!!
2019/08/23 17:31:15.518 [D] [ext_timer.go:521]  Count:%!(EXTRA int=286)
2019/08/23 17:31:24.518 [D] [ext_timer.go:39]  准备中
2019/08/23 17:31:24.518 [D] [ext_handlerReconnect.go:156]  用户金币%!(EXTRA int64=154601400)
2019/08/23 17:31:27.519 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:31:30.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:31:50.518 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:31:50.518 [D] [ext_timer.go:199]  获取玩家胜率：%!(EXTRA float32=-0.12)
2019/08/23 17:31:50.518 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:31:50.518 [D] [ext_timer.go:246]  库存概率%!(EXTRA float32=0.25)
2019/08/23 17:31:54.520 [D] [ext_timer.go:278]  开牌
2019/08/23 17:32:00.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:32:00.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:32:00.520 [D] [ext_timer.go:458]  真是输赢:%!(EXTRA int64=0)
2019/08/23 17:32:00.520 [D] [hall.go:889]  发送修改金币
2019/08/23 17:32:00.521 [D] [ext_timer.go:507]  该玩家下注，将其记录存入！！
2019/08/23 17:32:00.521 [D] [ext_timer.go:521]  Count:%!(EXTRA int=283)
2019/08/23 17:32:00.607 [D] [hall.go:810]  发送保存记录
2019/08/23 17:32:00.677 [D] [hall.go:857]  发送斗地主的保存记录
2019/08/23 17:32:09.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:32:09.519 [D] [ext_handlerReconnect.go:156]  用户金币%!(EXTRA int64=154601400)
2019/08/23 17:32:12.520 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:32:15.519 [D] [ext_timer.go:106]  下注中
2019/08/23 17:32:35.520 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:32:35.520 [D] [ext_timer.go:199]  获取玩家胜率：%!(EXTRA float32=-0.12)
2019/08/23 17:32:35.520 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:32:35.520 [D] [ext_timer.go:246]  库存概率%!(EXTRA float32=0.25)
2019/08/23 17:32:39.520 [D] [ext_timer.go:278]  开牌
2019/08/23 17:32:45.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:32:45.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:32:45.520 [D] [ext_timer.go:458]  真是输赢:%!(EXTRA int64=0)
2019/08/23 17:32:45.520 [D] [ext_timer.go:507]  该玩家下注，将其记录存入！！
2019/08/23 17:32:45.520 [D] [hall.go:889]  发送修改金币
2019/08/23 17:32:45.520 [D] [ext_timer.go:521]  Count:%!(EXTRA int=280)
2019/08/23 17:32:45.588 [D] [hall.go:810]  发送保存记录
2019/08/23 17:32:45.637 [D] [hall.go:857]  发送斗地主的保存记录
2019/08/23 17:32:54.520 [D] [ext_timer.go:39]  准备中
2019/08/23 17:32:54.520 [D] [ext_handlerReconnect.go:156]  用户金币%!(EXTRA int64=154601400)
2019/08/23 17:32:57.520 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:33:00.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:33:20.519 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:33:20.519 [D] [ext_timer.go:199]  获取玩家胜率：%!(EXTRA float32=-0.12)
2019/08/23 17:33:20.519 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:33:24.518 [D] [ext_timer.go:278]  开牌
2019/08/23 17:33:30.518 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:33:30.518 [D] [ext_timer.go:539]  结算中
2019/08/23 17:33:30.518 [D] [ext_timer.go:458]  真是输赢:%!(EXTRA int64=0)
2019/08/23 17:33:30.518 [D] [ext_timer.go:510]  该玩家没有下注，不存本局记录!!
2019/08/23 17:33:30.518 [D] [ext_timer.go:521]  Count:%!(EXTRA int=277)
2019/08/23 17:33:39.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:33:39.519 [D] [ext_handlerReconnect.go:156]  用户金币%!(EXTRA int64=154601400)
2019/08/23 17:33:42.520 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:33:45.519 [D] [ext_timer.go:106]  下注中
2019/08/23 17:34:05.518 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:34:05.518 [D] [ext_timer.go:199]  获取玩家胜率：%!(EXTRA float32=-0.12)
2019/08/23 17:34:05.518 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:34:09.520 [D] [ext_timer.go:278]  开牌
2019/08/23 17:34:15.518 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:34:15.518 [D] [ext_timer.go:539]  结算中
2019/08/23 17:34:15.518 [D] [ext_timer.go:458]  真是输赢:%!(EXTRA int64=0)
2019/08/23 17:34:15.518 [D] [ext_timer.go:510]  该玩家没有下注，不存本局记录!!
2019/08/23 17:34:15.518 [D] [ext_timer.go:521]  Count:%!(EXTRA int=274)
2019/08/23 17:34:24.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:34:24.519 [D] [ext_handlerReconnect.go:156]  用户金币%!(EXTRA int64=154601400)
2019/08/23 17:34:27.518 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:34:30.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:34:50.518 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:34:50.518 [D] [ext_timer.go:199]  获取玩家胜率：%!(EXTRA float32=-0.12)
2019/08/23 17:34:50.518 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:34:54.518 [D] [ext_timer.go:278]  开牌
2019/08/23 17:35:00.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:35:00.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:35:00.520 [D] [ext_timer.go:458]  真是输赢:%!(EXTRA int64=0)
2019/08/23 17:35:00.520 [D] [ext_timer.go:510]  该玩家没有下注，不存本局记录!!
2019/08/23 17:35:00.520 [D] [ext_timer.go:521]  Count:%!(EXTRA int=271)
2019/08/23 17:35:09.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:35:09.519 [D] [ext_handlerReconnect.go:156]  用户金币%!(EXTRA int64=154601400)
2019/08/23 17:35:12.520 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:35:15.520 [D] [ext_timer.go:106]  下注中
2019/08/23 17:35:35.518 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:35:35.518 [D] [ext_timer.go:199]  获取玩家胜率：%!(EXTRA float32=-0.12)
2019/08/23 17:35:35.518 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:35:39.518 [D] [ext_timer.go:278]  开牌
2019/08/23 17:35:45.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:35:45.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:35:45.520 [D] [ext_timer.go:458]  真是输赢:%!(EXTRA int64=0)
2019/08/23 17:35:45.520 [D] [ext_timer.go:510]  该玩家没有下注，不存本局记录!!
2019/08/23 17:35:45.520 [D] [ext_timer.go:521]  Count:%!(EXTRA int=268)
2019/08/23 17:35:54.520 [D] [ext_timer.go:39]  准备中
2019/08/23 17:35:54.520 [D] [ext_handlerReconnect.go:156]  用户金币%!(EXTRA int64=154601400)
2019/08/23 17:35:57.518 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:36:00.519 [D] [ext_timer.go:106]  下注中
2019/08/23 17:36:20.520 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:36:20.520 [D] [ext_timer.go:199]  获取玩家胜率：%!(EXTRA float32=-0.12)
2019/08/23 17:36:20.520 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:36:24.520 [D] [ext_timer.go:278]  开牌
2019/08/23 17:36:30.518 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:36:30.518 [D] [ext_timer.go:539]  结算中
2019/08/23 17:36:30.518 [D] [ext_timer.go:458]  真是输赢:%!(EXTRA int64=0)
2019/08/23 17:36:30.518 [D] [ext_timer.go:510]  该玩家没有下注，不存本局记录!!
2019/08/23 17:36:30.518 [D] [ext_timer.go:521]  Count:%!(EXTRA int=265)
2019/08/23 17:36:39.518 [D] [ext_timer.go:39]  准备中
2019/08/23 17:36:39.518 [D] [ext_handlerReconnect.go:156]  用户金币%!(EXTRA int64=154601400)
2019/08/23 17:36:42.518 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:36:45.519 [D] [ext_timer.go:106]  下注中
2019/08/23 17:37:05.519 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:37:05.519 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:37:09.519 [D] [ext_timer.go:278]  开牌
2019/08/23 17:37:15.518 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:37:15.518 [D] [ext_timer.go:539]  结算中
2019/08/23 17:37:15.518 [D] [ext_timer.go:521]  Count:%!(EXTRA int=262)
2019/08/23 17:37:24.520 [D] [ext_timer.go:39]  准备中
2019/08/23 17:37:27.519 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:37:30.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:37:50.519 [D] [ext_timer.go:139]  停止下注
